Description,Summary,Cause of Issue,Request Category,Comments,input_text,Topic,Topic_Probability,Matched_Subtopic
Good morning Please we would like to cancel this order SO170054 scheduled for delivery this coming Thursday 82024 Thank you,Customer wants to cancel an order.,Request of Customer Relations,Orders - Pre delivery -> Cancelation,072024 08f58131cbb67d43c7b30d6b58d40bd077Hi kaolaitan Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation between Memorial Day and Labor Day are Monday through Thursday 8 am to 5 pm and Friday 8am to 3 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 072024 12b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting customer support I have cancelled this order Charity | 072024 12bbec158f60e14a029348cf49bf031884Thank you | 072024 12f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved,Orders - Pre delivery -> Cancelation | Customer wants to cancel an order.,0,1.0,cancel order
Good afternoon Please we would like to cancel this order SO173678 Thank you,Customer wants to cancel order SO173678.,Partner Error,Orders - Pre delivery -> Cancelation,082024 01f58131cbb67d43c7b30d6b58d40bd077Hi kaolaitan Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation between Memorial Day and Labor Day are Monday through Thursday 8 am to 5 pm and Friday 8am to 3 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 082024 0238c8249284fe40dc890161d65a68f6d3Good afternoon and thank you for contacting customer support I have updated your order as requested and it is now canceled CiArra | 082024 02bbec158f60e14a029348cf49bf031884Thank you very much | 082024 02f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved,Orders - Pre delivery -> Cancelation | Customer wants to cancel order SO173678.,19,1.0,customer wants to cancel order
Everlasting Joy Foundation has been suspended from TEFAP ordering as of today November 13th 2024 I need support in removing TEFAP products from the following orders SO183688 520387 520474 520478 SO184827 SO184823 520035 Thank you very much Lucy,Customer wants support in removing TEFAP products from multiple orders.,Request of Customer Relations,Orders - Pre delivery -> Cancelation,112024 06e3f1b9a5afcd4846bd163cc8c3d8a80c | 112024 1105Good morning Lucy I hope you are doing well I am sorry I did not send confirmation of this being done but I was able to make these changes and close the orders that needed to be closed out | 112024 04e3f1b9a5afcd4846bd163cc8c3d8a80cNo worries thank you | 112024 04f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved,Orders - Pre delivery -> Cancelation | Customer wants support in removing TEFAP products from multiple orders.,0,0.9243698435826656,cancel order
Good day Everlasting Joy would like to change our delivery date to February 10th if possible Please inform if this date is accepted Thank you,Customer wants to change their delivery date to February 10th.,Request of Customer Relations,Orders - Pre delivery -> Data/Time Change - Reschedule,012025 04b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting customer support Unfortunately that date is too far out for us to reschedule to Please let us know if you would like to either reschedule to a sooner date keep your order or cancel it Charity | 012025 0865d20c5a0c84458e8ce1adb90d07460fa2c1006c08ef40b2a53c1035792fbe92What is the lastest date we can receive the apple sauce On Wed Jan 15 2025 at 414 PM CH wrote aaaa Reply above this line CH commented Good afternoon Thank you for contacting customer support Unfortunately that date is too far out for us to reschedule to Please let us know if you would like to either reschedule to a sooner date keep your order or cancel it Charity A This is shared with deborah551verizonnet Sent on January 15 2025 447 PM EST | 012025 11b15fa988bc6049b4aa6fe30b7a3629c1Good morning The latest day to move your order would be 25 Charity | 012025 1165d20c5a0c84458e8ce1adb90d07460fa2c1006c08ef40b2a53c1035792fbe92Good morning Ok can we move the date until the 5th please On Thu Jan 16 2025 at 1135 AM CH wrote aaaa Reply above this line CH commented Good morning The latest day to move your order would be 25 Charity A This is shared with deborah551verizonnet Sent on January 16 2025 1155 AM EST | 012025 01b15fa988bc6049b4aa6fe30b7a3629c1Hello We have moved your order to 25 Please allow some time for processing so you can see these changes made on your end Charity | 012025 0165d20c5a0c84458e8ce1adb90d07460fa2c1006c08ef40b2a53c1035792fbe92Thank you On Thu Jan 16 2025 at 102 PM CH wrote aaaa Reply above this line CH commented Hello We have moved your order to 25 Please allow some time for processing so you can see these changes made on your end Charity A This is shared with deborah551verizonnet Sent on January 16 2025 122 PM EST | 012025 01f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to change their delivery date to February 10th.,11,0.3472578493829537,change delivery date
Hello there Our volunteers just picked up some of the items from your warehouse I have ordered 3 boxes of oatmeal but we received 3 boxes or rice instead Can we return them and get the oatmeal that we ordered in the first place Thank you very much for your great help and support Manal,Customer wants to return an incorrect order and receive the correct one.,Ops Issue,Delivery / Pickup -> Report Issue,062024 11f58131cbb67d43c7b30d6b58d40bd077Hi Manal Kachouh We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 062024 0133Good afternoon Thank you for reaching out to Customer Service I am working on identifying what happened here with the mixup of items as you are not the only partner with a similar issue with these products I will provide you with more information when I have it Thank you | 062024 018e94303c4df54aacbf25fd34e07c5244Thank you very much for your great support I will be waiting to hear back from you | 062024 0457Good afternoon Thank you for your patience while I figured this out for you We have identified a labeling error and appreciate your help in bringing it to our attention We have initiated the process of resolving this issue yet we have identified that we do not have oatmeal in inventory at this time If you would like to return the product you received please do and we will process that return for you We do apologize for this mixup Thank you | 062024 068e94303c4df54aacbf25fd34e07c5244Thank you Yes we would like to return the items Can we do this on Wednesday 612 during our pick up time Thanks again Manal | 062024 0816Yes you can return the items during your next pickup Please inform the warehouse associate assisting you that you are returning the product and have already spoken to Customer Service Thank you DH Manager of Customer Relations Distribution Network Evolution Capital Area Food Bank P 5713909875 7035410179 4900 Puerto Rico Ave NE Washington DC 20017 Please email all customer service questions or concerns to so that one of my colleagues or I can assist you promptly Thank you | 062024 038e94303c4df54aacbf25fd34e07c5244We will thank you Manal | 062024 0527Thank you for returning the items we will process an RMA for it and you will see the return reflected in your account shortly Thank you and have a great day | 062024 068e94303c4df54aacbf25fd34e07c5244Thank you very much for your great service Manal | 062024 06f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved | 072024 118e94303c4df54aacbf25fd34e07c5244Hi I am following up on the refund for the items we returned I still dont see any refund in our invoice Thank you Manal,Delivery / Pickup -> Report Issue | Customer wants to return an incorrect order and receive the correct one.,2,0.4799878795909831,Delivery / Pickup - Return - Quality
Good morning We hope this message finds you well We are reaching out from the Customer Relations Team here at Capital Area Food Bank We are contacting you to inform you that you have exceeded your produce limit by 1275lbs At this time no action is needed and no removals are required this message is simply to notify you of the overage Thank you Customer Relations,Customer has exceeded their produce limit and no action is needed.,Request of Customer Relations,Partner Produce Limit -> Overage Alert,012025 10b15fa988bc6049b4aa6fe30b7a3629c1Good morning We hope this message finds you well We are reaching out from the Customer Relations Team here at Capital Area Food Bank We are contacting you to inform you that you have exceeded your produce limit by 1275lbs At this time no action is needed and no removals are required this message is simply to notify you of the overage Thank you Customer Relations | 012025 0265d20c5a0c84458e8ce1adb90d07460fd1421a49e82e485d91d93d9efdc42ae1Thank you for your notification We were not aware of the required poundage What is the acceptable poundage and how often are we allowed to order produce to stay within your guidelines Thank you Dr Head | 012025 02f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved,Partner Produce Limit -> Overage Alert | Customer has exceeded their produce limit and no action is needed.,-1,0.0,Produce limit exceeded
Catherine Juhel Tuesday July 16 2024 922 AM Partner Support Change of date Good Morning Would it be possible for FAITH 795 center street Herndon 20170 to get our delivery moved to Thursday or Friday I could not find a way to change it as I was placing my order Thank you Catherine,Customer wants to change the delivery date.,System Error,Orders - Pre delivery ->  Date/Time Change - New window,072024 04f58131cbb67d43c7b30d6b58d40bd077Hi partnersupportcapitalareafoodbankorg We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 072024 0440Good afternoon Thank you for reaching out to Customer Service We sincerely apologize for the delay in response Our ticketing system was down but we have resolved the issue and are now answering requests We acknowledge that we are late in addressing your request and we apologize once again Thank you for your understanding | 072024 0465d20c5a0c84458e8ce1adb90d07460fbcfc02feabad464d90b2b89d37da4744 Do not worry I knew something was wrong We received the shipment and were able to manage it before Our neighbors came in I hope you have a nice evening Thank you again Catherine | 072024 04f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved,Orders - Pre delivery ->  Date/Time Change - New window | Customer wants to change the delivery date.,9,0.8276890948570841,Reschedule delivery date
Catherine Juhel Friday July 12 2024 327 PM Partner Support Requestchange of delivery schedule Good Afternoon If you dont mind I have just set up a delivery for Wednesday July 7th in the morning I went all the way down the order but could not find a way to modify the day of the delivery that I had scheduled initially which is not working for my food pantry manager Could you move the delivery to Thursday 18th or Friday 19th in the morning please Thank you so much for your help Catherine Domestic Violence Advocate Foundation for Appropriate and Immediate Temporary Help 795 Center St Herndon VA 20170 3232198 office 3454241 mobile Celebrating 20 Years of Serving the Community,Customer requests a change of delivery schedule.,Request of Customer Relations,Orders - Pre delivery ->  Date/Time Change - New window,072024 04f58131cbb67d43c7b30d6b58d40bd077Hi partnersupportcapitalareafoodbankorg We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 072024 0521Good afternoon Thank you for reaching out to Customer Service We apologize for the delayed response Our ticketing system was temporarily down but it is now operational and we are addressing all requests I noticed that your request was to change your delivery for today Due to our ticketing system issue we only received your request today We sincerely apologize for missing this request because of our technical difficulties and hope it didnt cause too much inconvenience Thank you for your patience and understanding Sincerely,Orders - Pre delivery ->  Date/Time Change - New window | Customer requests a change of delivery schedule.,9,0.8947126154854246,Reschedule delivery date
Good Evening Because of the expected snow forecast we have closed our food pantry Could you please reschedule TomorrowaTMs delivery Thank you Catherine,Customer wants to reschedule delivery due to weather forecast.,Request of Customer Relations,Orders - Pre delivery -> Data/Time Change - Reschedule,012025 0629Good afternoon Thank you for keeping us informed We hope you are staying warm and safe Would you like to reschedule your delivery for Wednesday We are aiming to be back operational by then so if you are available to receive your delivery we can plan to deliver it on that day Thank you | 012025 1105Confirming that you spoke to a member of my team and you are rescheduled for Monday January 13th,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to reschedule delivery due to weather forecast.,18,1.0,reschedule customer
I have a delivery already set for March 3 2025 if any produce becomes available before that date please attach delivery for the same time If possible can I be notified if any produce is added If you have any meat That would be preferable as well I had some in my cart but wasnt able to get it because someone grabbed it before I could finish order,"Customer wants to be notified if any produce becomes available for delivery on March 3, 2025, and they prefer meat over other products.",Request of Customer Relations,Orders - Pre delivery -> Produce Request,022025 11b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting Customer Support We have received your request are looking into it and will follow up with you shortly Charity | 022025 03b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon At the moment all produce available has expiration dates prior to 32025 I will keep this ticket open and monitor for availability as we get more produce in the following week I will be sure to notify you of any changes made to your order Charity | 022025 0665d20c5a0c84458e8ce1adb90d07460f6cbeb01fbf9846f7848f2662844e142aHello Charity Thank you so much for the quick response By all means please keep us in mind for any availability Thank You Pamela Sturdivant | 022025 10b15fa988bc6049b4aa6fe30b7a3629c1Good morning I have added the following produce to your order 827047 Produce Pallet 3 WAY Potatoes Cabbage Apples Qty 1 Please note that this item will exceed your agencyaTMs produce limit for the month of March If you would like any adjustments made please let me know Charity | 022025 0565d20c5a0c84458e8ce1adb90d07460f6cbeb01fbf9846f7848f2662844e142aHello Charity Thank you for the add on I just have one question is it possible to get just the potatoes and cabbage and not the apples to leave room for any meat that may come available before my delivery I appreciate the produce but we are in desperate need of any meat Thank you Pamela Sturdivant | 022025 11b15fa988bc6049b4aa6fe30b7a3629c1Hello Pamela From our phone call this morning I closed SO197349 and added 10 cases of 364053 Chicken Whole Roaster 9ct 66063 avg CASE SG to your order Charity,"Orders - Pre delivery -> Produce Request | Customer wants to be notified if any produce becomes available for delivery on March 3, 2025, and they prefer meat over other products.",6,0.7148834717372,Produce Request
Hello my name is Pamela Sturdivant from Faith United Ministries 483001 My issue is I have an order being delivered on 332025 and items we needed just became available today I went ahead and set up a delivery of the items but it requested a new delivery date and to pay an additional delivery fee The new invoice is SO197349 I wanted to know if this ordered can be added to my previous order Thank you Pamela Sturdivant,Customer wants to add an order to their previous order.,Request of Customer Relations,Orders - Pre delivery ->  Change to Pickup/vice versa,022025 11b15fa988bc6049b4aa6fe30b7a3629c1Good morning Pam I am closing out this ticket as I combined your order with your previous request If you are available please join our Office Hours tomorrow at 10am to review the process on editing open orders since we it is not advised that we combine orders Feel free to join us using this link Charity,Orders - Pre delivery ->  Change to Pickup/vice versa | Customer wants to add an order to their previous order.,8,0.4604161102844611,order balance
Faith United Ministries Wednesday November 13 2024 513 PM CAFB Hunger Lifeline Need food for holiday pop upaTMs Hello this is Pamela Sturdivant from Faith United Ministries 483001 WeaTMre seeking bulk meats produce and canned items for one of our biggest distributions this year Our desire is to distribute 500 or more boxes on the 23 of November and the same on the 14 of December We would appreciate any help with these two dates Thank you Pamela Sturdivant,Faith United Ministries requests bulk food items for upcoming distributions.,Partner Knowledge/Training,PartnerLink -> New Shopper,112024 10cf10e6446cde419383f332d69da78478 | 112024 11b15fa988bc6049b4aa6fe30b7a3629c1Spoke with partner and set her up on PL to order for popup on 1123 Charity,PartnerLink -> New Shopper | Faith United Ministries requests bulk food items for upcoming distributions.,3,0.3952231667447728,Inventory status
Hi CAFB Team I am trying to make sure that our order for 925 is a delivery from 10am12pm It looks as though it is a delivery but when I go to edit it it says it is a pickup between 8am10am Can you please confirm that it is a delivery between 10am12pm on September 25th And if not can you change it Thanks,Customer wants confirmation of delivery time for their order.,Request of Customer Relations,Orders - Pre delivery -> Data/Time Change - Reschedule,092024 0965d20c5a0c84458e8ce1adb90d07460f7b491f72f16a4e27884841b4ae09754a | 092024 09b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support I can confirm this order is scheduled for delivery Please allow for us to look into changing your delivery time I will followup once the time is confirmed Charity | 092024 1065d20c5a0c84458e8ce1adb90d07460f7b491f72f16a4e27884841b4ae09754aThank you Charity | 092024 1265d20c5a0c84458e8ce1adb90d07460f7b491f72f16a4e27884841b4ae09754aHi Charity One of my deliveries was supposed to be for this Thursday between 810am The other for Wednesday the 25th Can you please make sure that the Sept 12 delivery does not get changed Thanks | 092024 01b15fa988bc6049b4aa6fe30b7a3629c1Hi Emily I can confirm we have moved SO175122 to delivery from 1012pm Charity | 092024 0165d20c5a0c84458e8ce1adb90d07460f7b491f72f16a4e27884841b4ae09754aMusic to my ears Thank you so so much for your assistance Best | 092024 01f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants confirmation of delivery time for their order.,11,1.0,change delivery date
Dear partner support coordinator we at FBC KenGar have grant allocations from 3 different grants 2 of the expires in 30 days and the third expires in June When we order food the funds are taken out of the grant that expires later Is there any way that you could take the money from the accounts that expire first It would be greatly appreciated Thanks FBC coordinator,Customer wants to know if there is a way to take money from grant accounts that expire later when ordering food to avoid overspending.,Partner Knowledge/Training,Billing / Grants -> Grant Support,042024 0349Good afternoon Thank you for contacting our Customer Service Id be happy to assist you with your query Our system applies grants on a perlineitem basis meaning only one grant can be applied to each line item In your past couple of orders you have had line items with high numbers ranging from 250 to 265330 A The system is going to use the grant that has enough available funds which might not be the one with the closest expiration date Please see below You have three grants 1G 3000 SO136067 used 89000 SO122558 used 81260 Remaining Balance 51498 1H 2378 SO146902 used 76258 SO142621 used 149884 Remaining Balance 11658 1I 6564 was placed and totaled in 85420 the only grant that could cover the entirety of this line item for the chicken was your 1I grant If the system pulled from either of your other two grants it would not cover the total cost of the chicken I hope this clarifies the situation If you have any more questions please feel free to ask Best regards | 042024 01f58131cbb67d43c7b30d6b58d40bd077Hi CONYANDLIZmsncom This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 042024 08f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 042024 10f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 042024 12f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 042024 02f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 042024 04f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 042024 0859Good evening Your grant has been applied to cover the entirety of your order You have no remaining balance for this sales order Thank you,Billing / Grants -> Grant Support | Customer wants to know if there is a way to take money from grant accounts that expire later when ordering food to avoid overspending.,7,1.0,Grant Support
Sorry I donaTMt know if this is the correct place for this requestabut we are in need of the pallets to be picked up We have probably a stack of 1012 Thanks so much Joni First Alliance Church 14500 New Hampshire Ave Silver Spring,Customer needs help with picking up pallets.,Request of Customer Relations,Delivery / Pickup -> Pallet Pickup,122024 0338c8249284fe40dc890161d65a68f6d3Good afternoon and thank you for contacting customer support I have reached out to our transportation manager about your inquiry I will follow up with you as soon as they provide me with a scheduled datetime for the pallet pickup CiArra | 122024 0938c8249284fe40dc890161d65a68f6d3Good morning and thank you for your patience The transportation manager had just advised me they will be sending a driver today between 12pm2pm Thank you CIArra,Delivery / Pickup -> Pallet Pickup | Customer needs help with picking up pallets.,5,0.8006589783008146,Pallet Pickup
Hello All of a sudden we have maybe 15 pallets stacked in our parking lot Rodney our delivery man didnaTMt have space in his truck Could you send someone to get them Thanks so much Joni First Alliance Church,Customer requests assistance with storing pallets.,Partner Error,Delivery / Pickup -> Pallet Pickup,092024 04b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting customer support I have forwarded your request to Transportation and will follow up with you once we have scheduled your pallet pickup Charity | 092024 10b15fa988bc6049b4aa6fe30b7a3629c1Good morning We have scheduled your pallet pickup for today Please make sure that the pallets are outside on concrete and feel free to reach out should there be any complications Charity,Delivery / Pickup -> Pallet Pickup | Customer requests assistance with storing pallets.,5,0.8704602670799215,Pallet Pickup
Good morning Pastor Mike Forwarding this to our Partner Support team to assist you TheyaTMre the touch point for help with order logistics Thanks Augusta Mike Mercurio Sunday January 5 2025 1015 AM Augusta Fricke DH Joni Miller jonimil103aolcom Inclement Weather Hi Augusta Due to the subfreezing temperatures and coming snow storms this week we have decided to cancel our food event for Saturday January 11 We tried to cancel our order online but were not sure that the system allowed us to do it completely Can you please confirm the cancellation We will resume later in the month with our indoor choice pantry on Tuesday night January 28 Thanks Pastor Mike and the team at First Alliance Church,Customer wants to cancel their food event and confirm the cancellation.,Request of Customer Relations,Orders - Pre delivery -> Cancelation,012025 1155Good afternoon Confirming that we have canceled your delivery Thank you,Orders - Pre delivery -> Cancelation | Customer wants to cancel their food event and confirm the cancellation.,0,1.0,cancelation customer
Hello I am writing to get info about service insights training I am with First Baptist Church of District Heights Thanks,Customer wants information about service insights training for First Baptist Church of District Heights.,Request of Customer Relations,PartnerLink -> General Questions,062024 0965d20c5a0c84458e8ce1adb90d07460f4782ba6483b14e06b5c53a4a1829b282 | 062024 09f58131cbb67d43c7b30d6b58d40bd077Hi taustinfbcdhorg We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 062024 12b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting Customer Support To register for upcoming Service Insights trainings please use this linkA A a If you have any further questions about Service Insights email a Charity,PartnerLink -> General Questions | Customer wants information about service insights training for First Baptist Church of District Heights.,1,1.0,Partner Trainings
Hello I called in yesterday and canceled this order A funeral was scheduled at the church We will not be able to accept the delivery Please confirm receipt of this email and the cancellation Taya Customer Support Wednesday June 19 2024 916 AM Taya Austin CAFB Order Delivery TOMORROW Capital Area Food Bank aS 2026449845 4900 Puerto Rico Ave NE Washington DC 20017,Customer cancels an order due to a funeral being scheduled at the church.,Request of Customer Relations,Orders - Pre delivery -> Cancelation,062024 09f58131cbb67d43c7b30d6b58d40bd077Hi systemsentvianetsuitecom We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 062024 0816Good morning Yes your order has been canceled We apologize for the additional email Thank you,Orders - Pre delivery -> Cancelation | Customer cancels an order due to a funeral being scheduled at the church.,0,1.0,cancel order
300005 rice 5ea 300015 mac and cheese 15ea 300077 fruit mix 10ea 300076 corn 10ea 300033 corn flakes 10ea,Customer lists their grocery items.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,052024 08f58131cbb67d43c7b30d6b58d40bd077Hi saraa11verizonnet Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation between Memorial Day and Labor Day are Monday through Thursday 8 am to 5 pm and Friday 8am to 3 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 052024 10b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support I have updated your order with the requested items Charity,Orders - Pre delivery -> Edit Order Items | Customer lists their grocery items.,-1,0.0,Shopping process explanation
300033 corn flakes please add 25 cases,Customer wants to add 25 cases of corn flakes to their order.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,122024 0423Good afternoon Your order has been updated,Orders - Pre delivery -> Edit Order Items | Customer wants to add 25 cases of corn flakes to their order.,4,1.0,Add Items to Order
I am trying to place an order and I picked a date of next Thursday 1017 and it says I donaTMt have enough time I thought I only needed 3 business days between placing the order and the order delivery The system wouldnaTMt let me pick the 17th and that was the only slot available nex week What do I do Jim Reed,Customer is trying to place an order but is unable to due to time constraints.,Request of Customer Relations,Orders - Pre delivery ->  Date/Time Change - New window,102024 11b15fa988bc6049b4aa6fe30b7a3629c1Good morning Please note that the 17th was unavailable as yesterday was an observed holiday which serves as an addition the 3 business day fulfillment policy To have selected an appointment for the 17th the order would have needed to be submitted by 1011 Hopefully this helps Charity,Orders - Pre delivery ->  Date/Time Change - New window | Customer is trying to place an order but is unable to due to time constraints.,9,0.8276890948570841,Reschedule delivery date
Add 10 300068 cereal and 20 365021 soup to my order Thanks,Customer wants to add 10 boxes of cereal and 20 boxes of soup to their order.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,072024 12f58131cbb67d43c7b30d6b58d40bd077Hi saraa11verizonnet We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 072024 0138c8249284fe40dc890161d65a68f6d3Good afternoon and thank you for contacting customer support I have updated your order as requested CiArra,Orders - Pre delivery -> Edit Order Items | Customer wants to add 10 boxes of cereal and 20 boxes of soup to their order.,4,0.9939824159131648,Add Items to Order
Add 10 300033 corn flakes,Customer wants to add 10 boxes of corn flakes to their order.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,072024 04f58131cbb67d43c7b30d6b58d40bd077Hi saraa11verizonnet Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation between Memorial Day and Labor Day are Monday through Thursday 8 am to 5 pm and Friday 8am to 3 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 072024 0438c8249284fe40dc890161d65a68f6d3Good afternoon and thank you for contacting customer support I have updated your order as requested CiArra,Orders - Pre delivery -> Edit Order Items | Customer wants to add 10 boxes of corn flakes to their order.,4,0.7393797436389572,Add Items to Order
Add 30 each 300029 grape spread,Customer wants to add 30 units of grape spread to their order.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,012025 1238c8249284fe40dc890161d65a68f6d3Good afternoon and thank you for contacting customer support I have updated your order as requested CiArra,Orders - Pre delivery -> Edit Order Items | Customer wants to add 30 units of grape spread to their order.,4,0.7043161169721066,Add Items to Order
Add to order 20 cs 300420 peas and carrots 20 cs 300027 black beans Thank you jim reed,Customer wants to add 20 cases of peas and carrots and 20 cases of black beans to their order.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,012025 0903Good morning I hope that this finds you well Your order has updated I do want to notify you that we only were able to add 15 cases of the 300420 because thats all that was available,Orders - Pre delivery -> Edit Order Items | Customer wants to add 20 cases of peas and carrots and 20 cases of black beans to their order.,4,1.0,Add Items to Order
IaTMm requesting 10 cases of SO823054 to be added to my order Thanks,Customer wants to add 10 cases of a product to their order.,Request of Customer Relations,Orders - Pre delivery -> Produce Request,052024 09f58131cbb67d43c7b30d6b58d40bd077Hi discipline820aolcom Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation are Monday through Friday 8 am to 5 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 052024 1038c8249284fe40dc890161d65a68f6d3Good morning and thank you for contacting customer support The following has been added to your order 3 Mangos 10 CASE DC Only 110 lbs Case 3 Eggplant 25 CASE DC Only 125 lbs Case 1 Cantaloupes 35 CASE DC Only 135 lbs Case Attached is a copy of the record stating it is a pick up for 11am CiArra,Orders - Pre delivery -> Produce Request | Customer wants to add 10 cases of a product to their order.,6,0.699204514277695,Add to Order
